start time;end time;cache misses;cache references;branch instructions;branch misses;cache miss rate;branch miss rate
1687081442541;1687081442641;3914156;16148081;51968663;1279447;0.2423914024211298;0.024619586615110725
1687081442882;1687081442982;3800495;10151150;31392370;1348220;0.37439058628825306;0.042947378614612404
1687081443195;1687081443295;2430180;8330896;12725120;657736;0.2917069184395052;0.05168799979882312
1687081443441;1687081443541;1199781;3795654;5056624;262895;0.31609335308223563;0.051990221143593036
1687081443690;1687081443790;4045514;16549964;29935649;1426026;0.24444246525249239;0.04763638162646816
1687081443960;1687081444060;2039358;11046022;28147661;1033627;0.1846237496177357;0.03672159473570468
1687081444245;1687081444345;1768402;8995451;70692982;816347;0.19658847566397727;0.01154777994794448
1687081444510;1687081444610;1813659;13329077;21671130;1233792;0.13606786126301168;0.0569325180551268
1687081444810;1687081444910;633284;1566242;2374442;125364;0.4043334299552687;0.052797246679430365
1687081445065;1687081445165;1273333;6355762;4457934;305539;0.20034309025416622;0.06853825112709161
1687081445316;1687081445416;2147984;10944036;21628654;986395;0.19626982221184214;0.04560593553348257
1687081445558;1687081445658;1735060;6276725;5670193;451598;0.2764275956012092;0.07964420258710771
1687081445804;1687081445904;5409261;20883027;26028623;1467698;0.25902667271368274;0.056387846564145944
1687081446090;1687081446190;1371808;4389411;3190962;293277;0.312526669295721;0.09190864698482777
1687081446317;1687081446417;1327268;4556782;4281109;322797;0.2912730957943566;0.07540032267340074
1687081446554;1687081446654;1401284;5472616;4255087;353387;0.25605377757182307;0.0830504758187083
1687081446783;1687081446883;2034145;6741761;10708778;496281;0.30172309579055084;0.046343382970493924
1687081447013;1687081447113;4007776;13857968;21178747;980731;0.28920372741515926;0.04630731931402741
1687081447304;1687081447404;4797685;12876805;39801268;1359646;0.3725834941198535;0.034160871457663104
1687081447623;1687081447723;1067731;3585174;2884541;254394;0.29781846013610497;0.088192194182714
1687081447845;1687081447945;4388668;20368235;30034380;1448920;0.2154662885615764;0.04824204794638677
1687081448099;1687081448199;1242684;4290808;12427238;247360;0.28961538246409535;0.019904664254438518
1687081448395;1687081448495;2943937;9825139;15497335;711600;0.29963311460529973;0.04591757227936287
1687081448634;1687081448734;3676446;11566608;16144210;822629;0.3178499694984044;0.05095504828046712
1687081448899;1687081448999;1473070;5544723;9354018;365889;0.26567062051611956;0.039115704074976124
1687081449190;1687081449290;796897;2139077;1861597;144405;0.3725424563959128;0.07757049458072826
1687081449408;1687081449508;821789;2019749;2157581;179380;0.40687679508691427;0.08313940473150255
1687081449628;1687081449728;2531824;8903522;12212767;619270;0.2843620760413688;0.05070677267485738
1687081449858;1687081449958;3520363;13169250;17285785;966397;0.2673168935208915;0.055907035752209115
1687081450139;1687081450239;911922;2416964;2390382;173350;0.3773006134969325;0.07251978972398554
1687081450374;1687081450474;622558;1541391;1545445;131621;0.40389362595214323;0.08516705544357774
1687081450596;1687081450696;720507;1776710;1414726;126174;0.40552875821040013;0.08918617456666521
1687081450818;1687081450918;4081327;14644966;31531851;1255535;0.27868463470656063;0.0398179922897644
1687081451087;1687081451187;3135594;12379419;60395053;1159513;0.2532908854607797;0.0191988075579634
1687081451440;1687081451540;1195492;8601738;50208963;657777;0.13898261025853148;0.01310078839907528
1687081451739;1687081451839;1266593;10395718;38594677;564631;0.12183795289560567;0.01462976358112804
1687081452111;1687081452211;2214944;8407829;32454291;579841;0.2634382787756506;0.017866389378218123
1687081452421;1687081452521;830040;1956499;1661382;124552;0.4242475973665205;0.07496891142434431
1687081452663;1687081452763;553672;1243289;1219211;87147;0.4453284795409595;0.07147819368427615
1687081452883;1687081452983;511684;1565774;1385721;103692;0.3267930109964784;0.0748289157774184
1687081453103;1687081453203;561641;1310102;1161396;89474;0.42870020807540177;0.07704004491146861
1687081453320;1687081453420;682443;1614712;1571522;121810;0.42264069382032216;0.07751084617332751
1687081453537;1687081453637;2216356;7449027;9579927;497521;0.2975363091045314;0.05193369427554093
1687081453764;1687081453864;1466442;4283228;6479289;335989;0.3423684193323353;0.05185584405943307
1687081454009;1687081454109;1280381;4403983;16244087;320480;0.2907325028275541;0.0197290250907915
1687081454228;1687081454328;585051;1292184;1238665;92396;0.4527613714455526;0.07459321123951997
1687081454442;1687081454542;581787;1492921;1305281;108569;0.38969711056378736;0.08317672593104473
1687081454664;1687081454764;662852;1603404;1365800;112002;0.4134029851490953;0.08200468589837458
1687081454881;1687081454981;3486572;12379356;24559814;803226;0.2816440532124611;0.032704889377419555
1687081455171;1687081455271;973888;4164985;3353661;304406;0.23382749277608442;0.09076826787203596
1687081455448;1687081455548;601337;1446487;1114708;101426;0.41572236736313567;0.09098885089189276
1687081455667;1687081455767;975365;2444553;1982898;175592;0.3989952355297676;0.08855321857200925
1687081455888;1687081455988;4051921;13453326;21693867;912721;0.30118358835577164;0.04207276646436525
1687081456166;1687081456266;918674;2265271;1618904;155477;0.40554706258103335;0.09603843093846207
1687081456421;1687081456521;4367466;14957018;21416765;1005922;0.2920011194744835;0.04696890496767369
1687081456667;1687081456767;2816857;10049501;9633723;688417;0.28029819590047306;0.07145908181084301
1687081456913;1687081457013;1090326;3873128;3686970;295431;0.2815104484024282;0.08012839811552576
1687081457164;1687081457264;1130038;2624303;2122179;187794;0.4306050025473431;0.08849112162546138
1687081457385;1687081457485;562266;1463103;1697920;100705;0.3842969360325281;0.05931080380701093
1687081457621;1687081457721;1378049;4852160;3478479;319411;0.2840073286948493;0.09182490393071224
1687081457847;1687081457947;1467342;6217610;6096216;419460;0.23599775476429047;0.06880661708837088
1687081458091;1687081458191;1311405;5132670;5297407;330381;0.2555015225993489;0.06236655027638994
1687081458328;1687081458428;740692;1598460;1432018;112318;0.4633785018079902;0.07843337164756309
1687081458548;1687081458648;850784;1905328;1411932;121738;0.44652889161341247;0.08622086616069329
1687081458770;1687081458870;1319071;3607868;4541414;249572;0.36560955112548466;0.05495469032332221
1687081459034;1687081459134;1116831;5324670;8348852;532910;0.20974651950261705;0.06383033260141634
1687081459262;1687081459362;839010;1820322;1606821;128845;0.4609129593555426;0.08018628086140273
1687081459483;1687081459583;1462218;5420638;4717748;350265;0.26975016593987644;0.0742441096896231
1687081459721;1687081459821;1317271;6001391;5255184;390353;0.21949428057595313;0.07427960657514561
1687081459944;1687081460044;802866;1893200;2692167;140837;0.4240788083667864;0.05231361947457197
1687081460182;1687081460282;1315823;5665535;4411990;351604;0.23225044060269684;0.07969283701912289
1687081460407;1687081460507;3299183;11778586;15324168;766464;0.28010009011268416;0.05001667953522827
1687081460681;1687081460781;1642057;6595105;8564844;601529;0.24898117619052312;0.07023233581370542
1687081460928;1687081461028;3070397;12327198;24010432;820573;0.24907501282935507;0.03417568663487604
1687081461221;1687081461321;1363113;5801312;4609561;388885;0.23496633175392048;0.08436486684957635
1687081461507;1687081461607;904394;2589253;3516895;188860;0.3492876130683251;0.05370077866982097
1687081461772;1687081461872;1891072;7955575;5943963;521318;0.2377040000251396;0.08770545846264521
1687081462003;1687081462103;872829;2786793;2820013;198455;0.31320194933746426;0.0703737890570008
1687081462238;1687081462338;640807;1459280;1334501;99660;0.43912545913053014;0.07467959934087723
1687081462459;1687081462559;1020804;2905293;3598866;227640;0.3513600865730238;0.06325325810963787
1687081462693;1687081462793;1231885;3455829;7623765;207636;0.35646584365140754;0.027235362055362408
1687081462922;1687081463022;710321;2103861;3533296;146519;0.33762734325128896;0.04146807966272851
1687081463165;1687081463265;1090489;2901410;2399676;180002;0.37584794978992975;0.07501095981290808
1687081463391;1687081463491;1193538;3360973;4182441;250499;0.35511680694846404;0.059893014629495075
1687081463618;1687081463718;818178;2290270;2354537;155089;0.3572408493321748;0.06586815157289946
1687081463844;1687081463944;1412092;5599018;5001988;469818;0.25220351140146363;0.0939262549210434
1687081464073;1687081464173;1244420;4006333;3008960;261169;0.3106132216168751;0.08679709933000106
1687081464292;1687081464392;1865291;10901240;15502479;695331;0.17110814916468217;0.04485289094731236
1687081464550;1687081464650;1236516;3895806;4036950;290956;0.3173967081523053;0.0720732235970225
1687081464796;1687081464896;597634;1496106;1264122;106247;0.399459663954292;0.08404805865256676
1687081465018;1687081465118;1006880;3071114;3514754;217133;0.3278549737977815;0.06177758101989499
1687081465244;1687081465344;1042384;2919774;2942023;191699;0.35700845339399556;0.06515890596368554
1687081465470;1687081465570;588809;1463161;1567460;101011;0.4024225632039126;0.06444247381113394
1687081465697;1687081465797;1447634;4273836;3018135;275724;0.33872006319381465;0.09135575446426353
1687081465918;1687081466018;1020940;2816347;2343902;189227;0.36250504643071324;0.08073161761882536
1687081466143;1687081466243;3646609;12329118;39620495;1114881;0.2957720901040934;0.028138997253820276
