cache misses;cache references;branch instructions;branch misses;cache miss rate;branch miss rate
3982686;9564102;28784936;786342;0.41642027657170533;0.02731783040962815
3603874;9255353;27038686;766264;0.38938266320042036;0.028339542831334334
3484732;8943717;26408919;681351;0.3896290546760368;0.025800033693162527
4504744;11674192;28548782;828850;0.3858720158106017;0.02903276223833297
13614076;32019601;60174890;2646051;0.42517943930656726;0.04397267697539622
13336962;35479786;60975629;2826855;0.3759031128316276;0.04636040736865543
12959364;37863883;70413808;2694137;0.34226188581873657;0.03826148700834359
11844086;30608912;50473130;2235517;0.3869489382700045;0.044291229808811144
10963019;29043554;53773516;2181532;0.3774682327100877;0.04056889268687582
14809789;43985190;83097880;3423286;0.3366994436081781;0.04119582834122844
12147141;32934443;63062460;2542279;0.36882788635593444;0.04031366679955079
11459561;29771855;52229411;2217947;0.38491256255278683;0.042465479842382296
11783640;30161981;51328972;2202007;0.3906785830811312;0.04289988507854784
11247697;28912708;49651622;2176804;0.3890226055615406;0.04384154862050629
11573685;28962013;49807957;2223062;0.39961604188217165;0.04463266782855599
11274015;30629962;73772062;2443597;0.36807146544941843;0.033123609856533495
4154429;9879219;26864525;808137;0.42052200685094643;0.03008193891386503
7343601;20359474;50746050;1811789;0.36069699050181747;0.035703054720515194
3367709;8907137;32139697;833023;0.37809107460680125;0.0259188193342333
17148693;45213720;78837352;3793112;0.3792807360243749;0.0481131329728071
14558423;38429581;62421048;2843693;0.37883376870541474;0.04555663660116697
16684919;46520993;87187862;3505032;0.358653543788285;0.040200916957913245
12442260;34075079;66460238;2612295;0.36514251368280026;0.039306133691546515
16106798;44559473;80866093;3673919;0.3614674257929397;0.04543213185778618
21071925;67626451;295662063;5327844;0.3115929446009225;0.018020046082138037
24044040;79551235;375700253;7831378;0.3022459676458826;0.020844750402656768
8494568;20102935;38957602;1584823;0.4225536221452241;0.04068071232926503
7068934;17034998;43936697;1404780;0.41496535544060525;0.03197281761985886
3968822;9467242;26535637;804816;0.41921628284140194;0.030329628039455016
6428990;17921157;85533073;1375213;0.35873744089179066;0.016078143246414166
3744511;9867092;34775380;1046240;0.3794948906932255;0.030085652550741356
3660377;9501434;32984694;900865;0.3852446904330441;0.02731160701384709
4252666;13354500;74590875;1382864;0.31844441948406904;0.01853931864990188
3137282;7328791;23921593;631611;0.42807633619242247;0.02640338375458524
3280766;7726230;24684131;656909;0.4246270173163367;0.026612603862781314
3501889;8435967;25745885;695693;0.4151141179191431;0.027021522080130474
4382577;11943314;62705380;1260353;0.3669481519116051;0.02009959910935872
3530647;8498924;26409219;701725;0.41542282293617405;0.026571213635662606
3286570;7712571;24388843;649616;0.4261315714305904;0.02663578587963357
5096162;22367369;164472134;1992835;0.22783913476815265;0.012116551001885826
4662957;20591150;184416706;2933904;0.2264544233809185;0.015909100990015513
3244252;7628658;25241385;657669;0.4252716532842343;0.026055186749855446
3396103;8125897;25162840;702514;0.4179357675835665;0.027918708699018076
3817457;9021895;26338855;746328;0.4231325015420818;0.028335628105321968
4991092;12706738;37107968;1069544;0.39279097436336535;0.028822489013680296
3489425;8036877;25784317;683669;0.4341767330767909;0.026514916024341462
3471893;8739716;26420778;758840;0.3972546705178978;0.02872133439825277
3301429;8041521;24577448;644557;0.41054783044152965;0.026225546281290067
3383557;7845801;24545810;658330;0.43125705074599774;0.02682046345180705
3727226;8810328;26165921;722347;0.42305189999736675;0.027606404529005497
3582699;8228466;26376134;752887;0.43540302651794394;0.02854425140545616
3543315;9167756;32032485;856136;0.3864975245850784;0.026727117799321534
3377383;7677274;24739044;653643;0.4399195599896526;0.026421514105395505
6858804;25618911;170156822;3619190;0.2677242604106006;0.021269731988765046
8451561;33549058;263361258;2939815;0.25191649196230786;0.011162670706866079
7036179;21668017;114691672;2418065;0.3247264851232118;0.021083178558945412
3568980;8708060;28281830;715812;0.40984788804854355;0.025309960494069868
3239970;7638094;24366225;622993;0.4241856672620159;0.02556789162047055
3788782;8245538;33262132;710765;0.45949482010755394;0.021368594171894933
3549539;8460303;28189236;714044;0.4195522311671343;0.025330377878988987
3217686;8032553;25451013;671245;0.4005807369089255;0.026373999337472344
3389729;9242123;30650090;1691153;0.36676951821567405;0.055176118569309256
3296000;7471867;23849543;645487;0.44112134222945887;0.027064963047719614
3860311;9015810;26541077;752555;0.42817129021130657;0.02835435050356095
3224283;8007895;25190635;663484;0.4026380216024311;0.02633851826283855
3347311;7969901;24960456;677118;0.4199940501142988;0.027127629399078285
3151366;7331360;23757365;628980;0.42984739529909866;0.026475158335109977
3260455;8235533;25004767;670183;0.395900908902921;0.026802209354720243
3208829;7824939;25007249;667964;0.41007719037809753;0.026710814932102287
5214525;23423374;207186417;1944348;0.22262057549864508;0.00938453412223447
4654330;17245616;134590044;2431861;0.2698848217425229;0.018068654468973946
3140217;7536797;25240579;626129;0.4166513971385988;0.024806443623975504
3513595;8577253;25982844;725100;0.4096410587399019;0.027906875783112888
3381556;8115593;24538609;654944;0.4166739263538721;0.02669034744389953
8292889;24060385;50152485;1823879;0.34466983799303297;0.03636667255869774
3360017;7963412;24558405;683203;0.4219318302255365;0.0278195184092778
3839302;9034355;26546828;748480;0.4249669179482099;0.028194705597218622
3489282;8187797;29842713;713369;0.42615638858657584;0.02390429449226014
3461793;9484180;32665165;875294;0.3650070960272791;0.026795946078949855
3466972;8111708;25033787;682124;0.4274034518994027;0.027248134690927905
3250091;7279502;29380534;631565;0.4464716130306716;0.02149603543625177
3590342;8830241;25581184;755036;0.40659615065998767;0.029515287486302434
3152553;7558580;24495481;638168;0.4170827060109174;0.026052478822522408
3300641;8019654;24416382;656019;0.41156900285224274;0.026867985600815058
7006064;33278828;269056212;2475488;0.21052616396226453;0.009200634995931632
3931826;10713614;38982284;1017917;0.3669934347084;0.026112297575996316
3352105;8273408;26172537;700810;0.40516616610712297;0.026776540615837126
3309756;8186476;25221741;688949;0.404295572356164;0.027315679754224737
3309029;8101902;25428097;672427;0.40842619424426513;0.02644425180539464
3899010;10031970;34473893;908115;0.3886584589068747;0.026342107634899255
3352178;8421862;26474898;696134;0.3980328815646706;0.026294114523122997
