start time;end time;cache misses;cache references;branch instructions;branch misses;cache miss rate;branch miss rate
1687081843819;1687081843919;1151892;4832858;8830115;326033;0.238345922847309;0.036922848683171174
1687081844104;1687081844204;1131402;2804993;13939881;201929;0.4033528782424769;0.014485704720147898
1687081844405;1687081844505;1843519;6744436;12763772;443749;0.2733392384478109;0.034766290090421544
1687081844733;1687081844833;1507778;2955834;13345883;401566;0.5101023941127952;0.03008912935921887
1687081845082;1687081845182;5283587;14167322;38442484;1080859;0.3729418305026172;0.028116263246672612
1687081845354;1687081845454;4596719;12943166;36137878;890156;0.3551464147180064;0.02463221553849952
1687081845712;1687081845812;1610140;8259455;18798586;476736;0.1949450659880101;0.025360205283525047
1687081845993;1687081846093;1733034;6295907;15995056;296170;0.2752635958568003;0.018516346551084285
1687081846310;1687081846410;1699078;3882443;21927663;287598;0.4376311513137476;0.013115761583895193
1687081846644;1687081846744;1800816;7339468;20512805;632728;0.24536056291818426;0.030845513326919455
1687081846917;1687081847017;4720375;15185867;33341975;952379;0.3108400066983334;0.028563964792127642
1687081847189;1687081847289;4499926;12136882;32471671;837487;0.37076458352318165;0.025791312063983402
1687081847476;1687081847576;2086846;8804166;15525961;584455;0.2370293790462379;0.037643724597788183
1687081847764;1687081847864;2404878;9012752;15397384;598786;0.2668305973580545;0.038888813840065296
1687081848006;1687081848106;5711047;10512267;38120014;980596;0.5432745382133083;0.025723915001710125
1687081848314;1687081848414;2013945;8166454;13406274;496669;0.24661193218011146;0.03704750477276535
1687081848600;1687081848700;3174340;8120984;23281218;891131;0.3908812035585835;0.038276820396596085
1687081848917;1687081849017;1666946;6127218;14426016;431257;0.2720559314194468;0.029894393573388522
1687081849175;1687081849275;2221934;4650795;31450737;738924;0.477753588365;0.02349464815403213
1687081849549;1687081849649;2210704;2072062;6194931;635916;1.066910160024169;0.10265102226320197
1687081849861;1687081849961;1776970;6857105;9415362;468548;0.2591428890180331;0.049764204498987934
1687081850146;1687081850246;4438035;27919797;54123544;2085349;0.1589565640466512;0.03852942445897482
1687081850472;1687081850572;2084842;10275002;57123129;838232;0.2029042914054907;0.014674126131991124
1687081850845;1687081850945;2486089;8960718;58911866;1046921;0.27744305757641297;0.017770969943474546
1687081851129;1687081851229;5041965;15598535;38990335;1003781;0.32323323953178934;0.025744354338068653
1687081851449;1687081851549;2379824;5174199;13492040;254251;0.4599405627808285;0.01884451869398549
1687081851789;1687081851889;1452130;5609415;8463967;215425;0.25887369716806474;0.025452013222641345
1687081852157;1687081852257;535635;2261376;15549980;517181;0.23686242358634743;0.03325927107301746
1687081852504;1687081852604;1530924;5066595;7292467;161797;0.30216032660988296;0.022186867626552167
1687081852836;1687081852936;1409143;5400071;12968725;365677;0.2609489764116064;0.028196835078236296
1687081853097;1687081853197;706670;5657109;8322398;373136;0.12491716175170038;0.04483515448311893
1687081853408;1687081853508;1419819;2873825;15549387;212069;0.49405200386244813;0.01363841545650642
1687081853783;1687081853883;603827;5279014;8151602;316835;0.11438253431417306;0.03886782009229597
1687081854141;1687081854241;1350485;5917604;6746101;218626;0.22821483154330705;0.03240775671754692
1687081854451;1687081854551;1639589;4058838;25182770;283034;0.40395526995657377;0.011239192511387747
1687081854726;1687081854826;969325;4613840;27207134;725196;0.21009072702997936;0.026654626687250483
1687081855002;1687081855102;1508550;3855282;6933133;205803;0.39129433333281455;0.029683982695846163
1687081855320;1687081855420;1673812;6230412;9257482;250093;0.2686518965358952;0.0270152294111941
1687081855628;1687081855728;646223;4850773;6642681;182301;0.13322062277496802;0.027443888996024346
1687081855924;1687081856024;1740597;7315657;8656551;267354;0.23792763930840388;0.030884586713576804
1687081856252;1687081856352;516292;3656176;7339721;266348;0.141210926388664;0.036288572821773474
1687081856584;1687081856684;1557708;5884910;12503510;385998;0.2646952969544139;0.030871171375077878
1687081856867;1687081856967;1603003;6225255;10981315;413247;0.25749997389665163;0.03763183188898597
1687081857194;1687081857294;1459771;3415149;7079011;594883;0.4274399155058828;0.084034761352963
1687081857520;1687081857620;540894;6599116;6866059;290088;0.08196461465444765;0.042249564124048455
1687081857841;1687081857941;2129196;3634942;33818555;385307;0.5857579020518071;0.011393360834015528
1687081858172;1687081858272;1051424;8345803;7246630;245447;0.1259823650282663;0.033870502564640394
1687081858476;1687081858576;1498340;6913504;14873974;468370;0.21672656875587257;0.031489230786607536
1687081858753;1687081858853;1815600;5528636;19867103;707283;0.3283992652075485;0.03560071138706031
1687081859051;1687081859151;1628478;4035797;12961459;394348;0.40350840242955727;0.030424661297775196
1687081859365;1687081859465;1901734;7288859;14245461;251054;0.2609096979376333;0.017623438090209928
1687081859633;1687081859733;838685;3973242;13665068;384463;0.21108329167969128;0.0281347301015992
1687081859920;1687081860020;1069121;8779642;10125131;623146;0.12177273287452951;0.06154448767132001
1687081860247;1687081860347;1141548;5132994;19019996;360228;0.22239418164135785;0.018939436159713177
1687081860524;1687081860624;985306;7084747;9332933;551285;0.13907426757793892;0.059068783628897795
1687081860844;1687081860944;1894745;4731124;7674285;384105;0.4004851701202505;0.05005091679550603
1687081861115;1687081861215;539538;2769796;6642049;212596;0.1947934071678925;0.032007592837692105
1687081861429;1687081861529;1806464;7204301;16773602;361761;0.25074799067945663;0.021567281732331554
1687081861685;1687081861785;995813;4171407;14509908;445487;0.23872352901550964;0.03070226220593542
1687081861987;1687081862087;507354;3027973;7070845;212110;0.16755565521885432;0.02999782911377636
1687081862310;1687081862410;1117031;2717723;18287192;191331;0.41101723759191056;0.010462568556178553
1687081862600;1687081862700;1501724;6508311;15506905;415589;0.2307394345476115;0.02680025446728409
1687081862889;1687081862989;1736901;8259553;18044059;650245;0.21028995152643248;0.036036514844027055
1687081863173;1687081863273;5636930;21823448;93777916;2492810;0.25829694739346415;0.026582057976208384
1687081863493;1687081863593;1725095;3419774;20570811;238753;0.504447077496934;0.011606397044822395
1687081863788;1687081863888;1730370;7245732;16735414;710298;0.23881231047463528;0.042442810198779664
1687081864086;1687081864186;637473;5771732;7735042;427288;0.11044743588233133;0.05524055331567689
1687081864403;1687081864503;1435459;3291401;13959621;240608;0.4361240091985146;0.017235998026020907
1687081864744;1687081864844;825021;5559304;12757133;350418;0.14840364908988607;0.02746839748398014
1687081865042;1687081865142;1678597;7057962;16310655;403901;0.23783026885097994;0.02476301534181184
1687081865338;1687081865438;1729649;8448913;24984057;884506;0.20471852414624225;0.03540281708451114
1687081865645;1687081865745;815604;6159481;7181569;485436;0.13241440309662453;0.06759469970977094
1687081865937;1687081866037;838705;3938555;22258227;646741;0.21294738806491212;0.029056267599391453
1687081866213;1687081866313;1653674;3661112;23236341;268947;0.4516862636270073;0.011574412683993578
1687081866528;1687081866628;1611449;3776515;9620671;505406;0.4267026610512602;0.05253334200909687
1687081866790;1687081866890;1745833;7397185;13966458;457195;0.23601315905983156;0.03273521461203693
1687081867069;1687081867169;1971862;8095852;17685390;590169;0.24356448215703547;0.03337042609747368
1687081867326;1687081867426;2149297;8531716;16644777;438631;0.25191848861354504;0.026352470808109957
1687081867653;1687081867753;1532422;5834135;12790724;399863;0.2626648166351996;0.03126195202085511
1687081867924;1687081868024;891370;2441541;6265518;424904;0.36508500164445323;0.06781626036346874
1687081868239;1687081868339;559570;3358478;11047214;609534;0.16661416272490098;0.05517535914484865
1687081868532;1687081868632;1765421;6914861;17970923;303903;0.2553082411924115;0.016910817546767074
1687081868813;1687081868913;1514430;4077446;8696082;488743;0.37141632286485216;0.05620266690217503
1687081869132;1687081869232;937607;5795696;15488377;278049;0.16177642857734428;0.01795210692508324
1687081869395;1687081869495;1798167;7796952;8553169;282189;0.2306243516697294;0.03299233301715423
1687081869678;1687081869778;437287;6963810;6783776;505853;0.06279421753321816;0.07456805767171558
1687081870012;1687081870112;868586;6249912;14665937;219485;0.13897571677809223;0.014965630903773827
1687081870327;1687081870427;1835189;7113584;16239052;564914;0.2579837392796655;0.03478737551921134
1687081870581;1687081870681;1745353;3122450;19561006;228640;0.558969078768275;0.011688560394081981
1687081870892;1687081870992;978784;5154347;7423854;254796;0.189894859620433;0.03432125685661383
1687081871229;1687081871329;1447872;5694485;13822999;336659;0.25425863796287107;0.024354989825290444
1687081871484;1687081871584;562366;2555772;20198616;622200;0.22003762463944357;0.030804090735721695
1687081871792;1687081871892;1788353;7193473;12746699;521429;0.24860773092496488;0.040906983054985455
1687081872116;1687081872216;1457444;5835375;16264256;412354;0.2497601268127584;0.02535338843658142
1687081872382;1687081872482;5726517;21684464;95880406;2333278;0.26408386206825313;0.024335295367856495
1687081872666;1687081872766;1348538;5413408;12399557;361800;0.24911072655155495;0.029178461778916778
1687081872961;1687081873061;857790;5236121;9563341;361045;0.16382165347210273;0.037753019577572315
1687081873268;1687081873368;1581055;7144310;21215306;725478;0.2213026870334574;0.03419597153112003
1687081873537;1687081873637;1603949;6741718;15829372;475255;0.23791398572292702;0.030023616856057207
1687081873789;1687081873889;1712750;7006674;11749212;562243;0.24444551009508933;0.04785367733597794
1687081874072;1687081874172;914429;6588569;15120909;525007;0.13879022895563514;0.034720597815911726
1687081874402;1687081874502;605404;7520954;7722476;763491;0.08049563925002068;0.09886608906262706
1687081874695;1687081874795;1397909;6005021;11314284;454483;0.23279002687917327;0.0401689581064078
