start time;end time;cache misses;cache references;branch instructions;branch misses;cache miss rate;branch miss rate
813029;2259231;9942449;971131;0.3598697964041747;0.0976752307203185
422037;1599942;7590567;115757;0.2637826871224082;0.015250112409257438
2675544;8720840;23290063;738383;0.3067988863458107;0.03170377855998071
472326;2303426;8742710;237817;0.20505368959107;0.02720174865688099
508479;5369407;22995183;163315;0.09469928429713002;0.007102139608978106
3620315;13426358;36495691;1104953;0.26964237062649454;0.030276259189064264
5910694;15778120;29964667;583276;0.3746133252884374;0.019465459102215286
8871677;21377613;38392471;781601;0.4149984846296918;0.020358184290873074
9062956;21512116;35437255;804766;0.42129542254234775;0.02270960321277706
2727164;9579963;16240633;421276;0.2846737508276389;0.025939629323561465
1015729;5276394;38482307;556895;0.19250438841375378;0.014471455674422014
2488772;11708151;43449243;1263270;0.21256746688695763;0.029074614717683345
5789228;19111228;47569825;1338102;0.3029228681694342;0.028129218469901875
1650773;8219397;13145405;516619;0.20083869899458562;0.03930034867697115
4438532;15759962;75477067;1422806;0.2816334201821045;0.01885083849376394
3601451;9322448;92542060;1602760;0.38632030985852645;0.01731926002079487
1064268;6575124;10292624;362679;0.16186280289162608;0.03523678704283767
903602;6864266;14931146;417887;0.13163854664140345;0.027987603898588898
4590428;12541192;21264597;616926;0.3660280458189301;0.029011882990305434
1263605;7171942;11537560;532146;0.17618728651179835;0.04612292373777471
8285149;23199534;100281503;2300724;0.3571256646792992;0.022942655735823984
1669322;5160068;10699987;271826;0.3235077522234203;0.025404329930494306
2143246;6869652;11572927;334651;0.3119875650178495;0.028916712254384736
345601;1213055;11181365;155144;0.2849013441270182;0.013875229008265091
928852;5470309;10500572;391852;0.16979881758050597;0.03731720519605979
1630675;7454235;12388588;473570;0.21875819584437572;0.03822630956812834
4948893;15919447;38465229;926883;0.3108709115335476;0.024096645830445986
4868842;16788809;44882185;1343433;0.2900052052530945;0.029932433102354532
2336222;9257300;29578007;653118;0.2523653765136703;0.022081203780903832
1652019;6726136;19569802;467016;0.24561189366376177;0.023864114721242453
2310418;10064924;24259433;500942;0.2295514601004439;0.020649369669934164
4072412;11903611;28365325;858747;0.34211568237570933;0.030274534136309032
3575961;13629217;37495501;1315682;0.2623746470541925;0.03508906308519521
1516431;4972338;16911122;528706;0.3049734350319709;0.031263803785461425
6213230;15771607;34818093;963173;0.3939503438045343;0.027663002680818848
7433123;21670328;51704738;1582881;0.3430092520980762;0.03061384819317719
3146119;6770890;51069730;197775;0.4646536865906845;0.0038726462818581575
1801175;16174622;13156244;328059;0.11135808923386277;0.02493561232217949
2233807;9542728;30814506;1152582;0.23408473970965116;0.03740387725183717
3133949;9924039;23870492;815458;0.3157937005285852;0.034161759213006584
2850750;9236260;19024130;616743;0.3086476560859049;0.032418985782792696
1627067;6519121;9755220;227853;0.24958380125173318;0.02335703346516019
1696424;6281493;14128171;205585;0.2700670047709995;0.014551423535289883
2074369;8621713;28783622;714831;0.24059824306376237;0.024834643812373578
1866769;7110378;17372209;541723;0.2625414570083335;0.031183311230022617
2176207;8348807;19724031;652281;0.2606608345360002;0.03307036984478477
3102583;11525306;24383764;817803;0.26919745124337696;0.033538833463119144
2056959;8137010;20888284;525238;0.25279052133400354;0.02514510047833513
1989290;7180541;15208496;468596;0.2770390141912705;0.03081146222479856
3276349;12784301;24242626;925693;0.25627908792197557;0.038184518459345125
2903401;10318383;17817415;759142;0.28138139473985413;0.042606741774830974
2623980;7159185;10193506;512444;0.36651937336442625;0.050271614104116874
1609666;6452698;12796271;383738;0.24945627394928446;0.029988267675793986
3273597;13858433;39862630;909041;0.2362169662327624;0.022804340807417875
2226170;12182022;29751960;808368;0.18274224098429637;0.027170243573868748
982230;4755543;9542451;307756;0.20654423690417686;0.03225125284897978
1109626;8578389;10965777;700068;0.12935132692163995;0.06384116693235692
727999;3258696;7544258;219871;0.2234019374621014;0.029144151750907777
5017086;10869368;23918575;761298;0.46158028691272573;0.03182873561656579
961038;2353073;9757548;263773;0.4084182683665148;0.027032713546477044
5568163;16673279;43049413;1436147;0.3339572857864371;0.033360431650949575
624161;1639654;6976461;452335;0.3806662869117509;0.06483731507995243
465353;2247225;8575483;302803;0.20707895293083692;0.03531031429949777
361646;3504946;6112448;275705;0.1031816182046742;0.04510549619399625
457331;3969265;13498502;284456;0.11521805674350288;0.02107315315432779
584143;3420624;8085679;180918;0.17077088858640996;0.022375115311898976
814684;3482207;8302274;255722;0.2339562237397145;0.030801440665533322
638475;3355779;9345882;259995;0.19026133723347097;0.027819204222779614
460364;3199875;11014569;128048;0.14386936989726162;0.011625330051498156
783280;2244757;8090563;309273;0.3489375464693951;0.038226387953471226
689474;4347009;7976847;222010;0.1586088273569252;0.027831798704425446
686994;2042968;7550671;219651;0.33627252115549533;0.029090262309137825
935166;2487525;12172502;435442;0.3759423523381675;0.03577259629942965
5255647;19933518;99595629;2025531;0.2636587781444299;0.02033754915087689
663436;2930988;5303202;125794;0.2263523426230336;0.023720386287378832
662310;2828389;8069979;193569;0.23416510246645705;0.023986307771061113
1241360;4260711;26100534;1918266;0.2913504342350373;0.07349527791270477
782349;3346313;8213769;269145;0.23379432826516827;0.03276753948157052
933270;4777559;15912459;532796;0.19534452635749763;0.03348294565912157
659379;3765711;7947185;196150;0.1751007976979646;0.024681695468269583
668836;3698224;19442204;208968;0.1808532960685994;0.01074816414846794
505982;4167339;7852968;161389;0.12141608829999191;0.020551338041871557
780920;3872761;12039779;218681;0.20164425328596317;0.018163207148569754
752393;3775639;8996239;250641;0.19927567227693113;0.027860642653001994
